review,sentiments,word_count,tokens_count,clean_review
So there is no way for me to plug it in here in the US unless I go by a converter.,0,21,22,way plug us unless go converter
"Good case, Excellent value.",1,4,6,good case excellent value
Great for the jawbone.,1,4,5,great jawbone
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,11,13,tied charger conversations lasting minutes major problems
The mic is great.,1,4,5,mic great
I have to jiggle the plug to get it to line up right to get decent volume.,0,17,18,jiggle plug get line right get decent volume
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,21,23,several dozen several hundred contacts imagine fun sending one one
If you are Razr owner...you must have this!,1,8,11,razr owner must
"Needless to say, I wasted my money.",0,7,9,needless say wasted money
What a waste of money and time!.,0,7,9,waste money time
And the sound quality is great.,1,6,7,sound quality great
He was very impressed when going from the original battery to the extended battery.,1,14,15,impressed going original battery extended battery
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,22,23,two seperated mere ft started notice excessive static garbled sound headset
Very good quality though,1,4,4,good quality though
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,15,19,design odd ear clip comfortable
Highly recommend for any one who has a blue tooth phone.,1,11,12,highly recommend one blue tooth phone
I advise EVERYONE DO NOT BE FOOLED!,0,7,8,advise everyone fooled
So Far So Good!.,1,4,6,far good
Works great!.,1,2,4,works great
Works great!.,1,2,4,works great
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,17,18,clicks place way makes wonder long mechanism would last
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,17,20,went motorola website followed directions could get pair
I bought this to use with my Kindle Fire and absolutely loved it!,1,13,14,bought use kindle fire absolutely loved
The commercials are the most misleading.,0,6,7,commercials misleading
I have yet to run this new battery below two bars and that's three days without charging.,1,17,19,yet run new battery two bars three days without charging
I bought it for my mother and she had a problem with the battery.,0,14,15,bought mother problem battery
Great Pocket PC / phone combination.,1,6,7,great pocket pc phone combination
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,19,23,owned phone months say best mobile phone
I didn't think that the instructions provided were helpful to me.,0,11,13,think instructions provided helpful
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,18,19,people couldnt hear talk pull earphone talk phone
Doesn't hold charge.,0,3,5,hold charge
"This is a simple little phone to use, but the breakage is unacceptible.",0,13,15,simple little phone use breakage unacceptible
This product is ideal for people like me whose ears are very sensitive.,1,13,14,product ideal people like whose ears sensitive
It is unusable in a moving car at freeway speed.,0,10,11,unusable moving car freeway speed
I have two more years left in this contract and I hate this phone.,0,14,15,two years left contract hate phone
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,19,19,car charger well ac charger included make sure never run juice highy recommended
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,24,25,need least mins get phone book time first turn phone battery life short
It has kept up very well.,1,6,7,kept well
Poor Talk Time Performance.,0,4,5,poor talk time performance
The case is great and works fine with the 680.,1,10,11,case great works fine
worthless product.,0,2,3,worthless product
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,18,20,great camera thats mp pics nice clear great picture quality
I was not impressed by this product.,0,7,8,impressed product
Nice headset priced right.,1,4,5,nice headset priced right
I only hear garbage for audio.,0,6,7,hear garbage audio
Excellent bluetooth headset.,1,3,4,excellent bluetooth headset
It has all the features I want,1,7,7,features want
Who in their right mind is gonna buy this battery?.,0,10,13,right mind gonna buy battery
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,15,16,arguing verizon regarding dropped calls returned phones two days
This case seems well made.,1,5,6,case seems well made
Disappointed with battery.,0,3,4,disappointed battery
Not loud enough and doesn't turn on like it should.,0,10,12,loud enough turn like
good protection and does not make phone too bulky.,1,9,10,good protection make phone bulky
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,18,19,usable keyboard actually turns pda real world useful machine instead neat gadget
This phone is pretty sturdy and I've never had any large problems with it.,1,14,16,phone pretty sturdy never large problems
I love this thing!,1,4,5,love thing
Everything about it is fine and reasonable for the price i.e.,1,11,12,everything fine reasonable price e
VERY DISAPPOINTED.,0,2,3,disappointed
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,20,21,even dropped phone stream submerged seconds still works great
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,23,24,happy complaints one regarding sound quality end
The buttons for on and off are bad.,0,8,9,buttons bad
Essentially you can forget Microsoft's tech support.,0,7,9,essentially forget microsoft tech support
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,13,15,really recommend faceplates since looks nice elegant cool
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,25,27,headphones great find think perhaps best purchase made last several years seriously
Buy a different phone - but not this.,0,8,9,buy different phone
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,18,19,hold phone particular angle party hear clearly
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,30,32,one big drawback mp player buttons phone front cover let pause skip songs lock seconds
